Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
37792766,"Presidents of War: The Epic Story, from 1807 to Modern Times",Michael R. Beschloss,"Beschloss, Michael R.",,"=""0307409600""","=""9780307409607""",0,4.25,Crown,Hardcover,752,2018,2018,,2019/07/06,suggestions-inbox,suggestions-inbox (#213),suggestions-inbox,,,,0,,,0,,,,,
38232376,"Nine Pints: A Journey Through the Money, Medicine, and Mysteries of Blood",Rose George,"George, Rose",,"=""1627796371""","=""9781627796378""",0,3.82,Metropolitan Books,Hardcover,289,2018,2018,,2019/07/06,to-read,to-read (#28),to-read,,,,0,,,0,,,,,
41716904,Upheaval: Turning Points for Nations in Crisis,Jared Diamond,"Diamond, Jared",,"=""0316409138""","=""9780316409131""",0,3.82,"Little, Brown and Company",Hardcover,512,2019,,,2019/07/06,suggestions-inbox,suggestions-inbox (#212),suggestions-inbox,,,,0,,,0,,,,,
40776644,The Moment of Lift: How Empowering Women Changes the World,Melinda Gates,"Gates, Melinda",,"=""1250313570""","=""9781250313577""",0,4.30,Flatiron Books,Hardcover,273,2019,2019,,2019/07/06,suggestions-inbox,suggestions-inbox (#211),suggestions-inbox,,,,0,,,0,,,,,
127030,The Magnificent Ambersons,V.F. Perkins,"Perkins, V.F.",,"=""0851703739""","=""9780851703732""",0,3.74,British Film Institute,Paperback,77,1999,1999,,2019/07/06,"suggestions-inbox, novel","suggestions-inbox (#210), novel (#97)",suggestions-inbox,,,,0,,,0,,,,,
127020,The Ginger Man,J.P. Donleavy,"Donleavy, J.P.",,"=""0802137954""","=""9780802137951""",0,3.66,Grove Press,Paperback,347,2001,1955,,2019/07/06,"suggestions-inbox, novel","suggestions-inbox (#209), novel (#96)",suggestions-inbox,,,,0,,,0,,,,,
25807,The Postman Always Rings Twice,James M. Cain,"Cain, James M.",,"=""0752861743""","=""9780752861746""",0,3.80,Orion,Hardcover,116,2010,1934,,2019/07/06,"suggestions-inbox, novel","suggestions-inbox (#208), novel (#95)",suggestions-inbox,,,,0,,,0,,,,,
243598,The Sheltering Sky,Paul Bowles,"Bowles, Paul",,"=""0141023422""","=""9780141023427""",0,3.91,Penguin Books,Paperback,342,2007,1949,,2019/07/06,"suggestions-inbox, novel","suggestions-inbox (#207), novel (#94)",suggestions-inbox,,,,0,,,0,,,,,
228560,Sophie's Choice,William Styron,"Styron, William",,"=""0679736379""","=""9780679736370""",0,4.19,Vintage Books,Paperback,562,1992,1979,,2019/07/06,"suggestions-inbox, novel","suggestions-inbox (#206), novel (#93)",suggestions-inbox,,,,0,,,0,,,,,
11324,Under the Net,Iris Murdoch,"Murdoch, Iris",,"=""0140014454""","=""9780140014457""",0,3.77,Penguin Books Ltd,Paperback,252,1982,1954,,2019/07/06,"suggestions-inbox, novel","suggestions-inbox (#205), novel (#92)",suggestions-inbox,,,,0,,,0,,,,,
25622780,Wide Sargasso Sea,Jean Rhys,"Rhys, Jean",,"=""0393352560""","=""9780393352566""",0,3.58,W. W. Norton  Company,Paperback,171,2016,1966,,2019/07/06,"suggestions-inbox, novel","suggestions-inbox (#204), novel (#91)",suggestions-inbox,,,,0,,,0,,,,,
16286,The Magus,John Fowles,"Fowles, John",,"=""0316296198""","=""9780316296199""",0,4.05,Back Bay Books,Paperback,656,2001,1965,,2019/07/06,"suggestions-inbox, novel","suggestions-inbox (#203), novel (#90)",suggestions-inbox,,,,0,,,0,,,,,
267243,Ironweed,William  Kennedy,"Kennedy, William",,"=""0743263065""","=""9780743263061""",0,3.86,,,208,,1983,,2019/07/06,"suggestions-inbox, novel","suggestions-inbox (#202), novel (#89)",suggestions-inbox,,,,0,,,0,,,,,
59091,Tobacco Road,Erskine Caldwell,"Caldwell, Erskine","Lewis Nordan, David Fredenthal","=""082031661X""","=""9780820316611""",0,3.73,University of Georgia Press,Paperback,192,1995,1932,,2019/07/06,"suggestions-inbox, novel","suggestions-inbox (#201), novel (#88)",suggestions-inbox,,,,0,,,0,,,,,
