Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID,read_dates,genres,image_url
5129,Brave New World,Aldous Huxley,"Huxley, Aldous",,"=""0060929871""","=""9780060929879""",4,3.98,HarperPerennial / Perennial Classics,Paperback,288,1998,1932,2019/07/05,2019/02/02,,,read,Interesting thought experiment about optimizations for happiness.,,,1,,,0,,,,,,"2019-07-02,2019-07-05","Classics|16371;Fiction|11502;Science Fiction|8412;Science Fiction,Dystopia|5404",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1523061131i/5129._SX98_.jpg
17332218,"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326361""","=""9780765326362""",4,4.76,Tor Books,Hardcover,1087,2014,2014,2019/07/02,2019/06/23,,,read,Another exciting installment.,,,1,,,0,,,,,,"2019-06-23,2019-07-02","Fantasy|7334;Fiction|754;Fantasy,Epic Fantasy|654;Fantasy,High Fantasy|376",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1507307927i/17332218._SX98_.jpg
19488206,"Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge and the Teachings of Plants",Robin Wall Kimmerer,"Kimmerer, Robin Wall",,"=""""","=""""",3,4.61,Milkweed Editions,Kindle Edition,410,2013,2013,2019/06/23,2018/09/08,,,read,"A fresh and necessary voice: botanist, mother, and indigenous person weaves together a new perspective on how we can care for the Earth.",,,1,,,0,,,,,,"2019-06-10,2019-06-23","Nonfiction|346;Environment,Nature|178;Science|140;Environment|59;Spirituality|49",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
4381,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",Alfredo Crespo,"=""0307347974""","=""9780307347978""",4,3.98,DeBolsillo,Mass Market Paperback,175,2004,1953,2019/06/21,2019/02/02,,,read,"Insightful distopian novel that's not overbearing, but revels in the power of ideas.",,,1,,,0,,,,,,"2019-06-20,2019-06-21","Classics|19449;Fiction|12000;Science Fiction|9782;Science Fiction,Dystopia|5361;Literature|1414;Academic,School|1408;Novels|1057;Fantasy|924;Science Fiction Fantasy|742;Adult|686",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351643740i/4381._SX98_.jpg
41817486,A Clockwork Orange,Anthony Burgess,"Burgess, Anthony",,"=""0393341763""","=""9780393341768""",4,3.99,W. W. Norton  Company,Paperback,240,2019,1962,2019/06/18,2019/06/11,,,read,"A novel that does all that could be asked of it, but with a fun dialect",,,1,,,0,,,,,,"2019-06-11,2019-06-18","Classics|7032;Fiction|5902;Science Fiction|2490;Science Fiction,Dystopia|1993",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1549260060i/41817486._SX98_.jpg
7235533,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326353""","=""9780765326355""",4,4.65,Tor Books,Hardcover,1007,2010,2010,2019/06/11,2018/04/10,fantasy,fantasy (#4),read,Immediately immersive world of epic proportion.,,,1,,,0,,,,,,"2019-06-10,2019-06-11","Fantasy|12246;Fiction|1266;Fantasy,Epic Fantasy|1009;Fantasy,High Fantasy|593",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388184640i/7235533._SX98_.jpg
229733,The White Guard,Mikhail Bulgakov,"Bulgakov, Mikhail",Michael Glenny,"=""0099490668""","=""9780099490661""",4,4.04,Vintage Books,Paperback,304,2006,1925,2019/06/10,2019/05/20,,,read,An enthralling historical fiction,,,1,,,0,,,,,,"2019-05-20,2019-06-09","Fiction|193;Cultural,Russia|187;Classics|140;Literature,Russian Literature|117;Historical,Historical Fiction|72",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1330427738i/229733._SX98_.jpg
38502098,A People's History of Computing in the United States,Joy Lisi Rankin,"Rankin, Joy Lisi",,"=""0674970977""","=""9780674970977""",2,3.51,Harvard University Press,Hardcover,336,2018,,2019/05/31,2019/03/19,,,read,A social perspective on computing. Neat to hear about the communities that grew around computing.,,,1,,,0,,,,,,"2019-05-23,2019-05-31","History|8;Nonfiction|8;Science,Technology|5;United States|2",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1524448001i/38502098._SX98_.jpg
4191136,Business Adventures,John Brooks,"Brooks, John",,"=""0575003499""","=""9780575003491""",2,3.80,Littlehampton Book Services Ltd,,408,,1969,2019/05/23,2019/04/12,,,read,An interesting insight into a field I hadn't given much thought.,,,1,,,0,,,,,,"2019-05-15,2019-05-23","Business|930;Nonfiction|286;Economics,Finance|102;Economics|73;Buisness|55",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405094011i/4191136._SX98_.jpg
12543,Bird by Bird: Some Instructions on Writing and Life,Anne Lamott,"Lamott, Anne",,"=""0385480016""","=""9780385480017""",3,4.24,Anchor,Paperback,237,1995,1994,2019/05/18,2018/12/31,,,read,A refreshing portrayal of writing,,,1,,,0,,,,,,"2019-05-16,2019-05-18","Language,Writing|3454;Nonfiction|2404;Autobiography,Memoir|476",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394996112i/12543._SX98_.jpg
